SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled
S113,2,2,1,63,44,18,1,0.03024305556,0.868,0.132,0.000,0.132,1,2,6,13,-999,-999,6,13,F,6,7,44,-999,44,-999,63,63,19
S114,3,1,1,63,32,31,0,0.02680555556,0.291,0.698,0.011,0.720,2,2,-999,-999,13,15,13,15,F,7,2,-999,66,66,70,-999,70,4
S119,1,2,2,63,28,35,0,0.01984953704,0.063,0.853,0.084,1.021,1,1,12,12,-999,-999,12,12,F,2,0,58,-999,58,-999,63,63,5
S120,2,2,1,63,35,28,0,0.03104166667,0.316,0.675,0.009,0.693,2,1,-999,-999,9,16,9,16,F,3,7,-999,51,51,70,-999,70,19
S121,3,1,1,63,40,23,0,0.02342592593,0.790,0.210,0.000,0.211,1,1,15,19,-999,-999,15,19,F,2,4,70,-999,70,-999,81,81,11
S122,1,2,2,63,34,29,0,0.02802083333,0.078,0.850,0.072,0.993,2,1,-999,-999,16,12,16,12,F,7,-4,-999,75,75,58,-999,58,-17
S123,2,2,1,63,42,20,1,0.03083333333,0.983,0.017,0.000,0.017,1,1,10,16,-999,-999,10,16,F,6,6,56,-999,56,-999,72,72,16
S124,3,1,1,63,33,30,0,0.02880787037,0.054,0.877,0.069,1.016,2,1,-999,-999,12,15,12,15,M,6,3,-999,57,57,70,-999,70,13
S125,1,2,2,63,18,45,0,0.01072916667,0.000,0.006,0.994,1.994,1,1,8,11,-999,-999,8,11,F,7,3,50,-999,50,-999,60,60,10
S126,2,2,1,63,8,55,0,0.01664351852,0.000,0.000,1.000,2.000,2,1,-999,-999,7,7,7,7,F,7,0,-999,45,45,47,-999,47,2
S127,3,1,1,63,34,29,0,0.02849537037,0.052,0.877,0.072,1.020,1,1,13,11,-999,-999,13,11,F,7,-2,64,-999,64,-999,60,60,-4
S128,1,2,2,63,27,36,0,0.02828703704,0.019,0.718,0.263,1.245,2,1,-999,-999,10,14,10,14,M,2,4,-999,54,54,67,-999,67,13
S129,2,2,1,63,47,15,1,0.02905092593,0.998,0.002,0.000,0.002,1,1,19,20,-999,-999,19,20,M,2,1,78,-999,78,-999,84,84,6
S130,3,1,1,63,30,33,0,0.02537037037,0.078,0.751,0.171,1.092,2,1,-999,-999,6,14,6,14,M,6,8,-999,45,45,67,-999,67,22
S131,1,2,2,63,37,26,0,0.02811342593,0.892,0.108,0.000,0.108,1,1,12,18,-999,-999,12,18,M,7,6,58,-999,58,-999,75,75,17
S132,2,2,1,63,24,39,0,0.02533564815,0.000,0.112,0.888,1.888,2,1,-999,-999,11,13,11,13,M,7,2,-999,57,57,61,-999,61,4
S133,3,1,1,63,37,26,0,0.02951388889,0.004,0.455,0.541,1.537,1,1,8,10,-999,-999,8,10,M,7,2,50,-999,50,-999,54,54,4
S134,1,2,2,63,29,34,0,0.02781250000,0.005,0.411,0.584,1.579,2,1,-999,-999,12,15,12,15,M,6,3,-999,60,60,67,-999,67,7
S135,2,2,1,63,39,24,0,0.02355324074,0.878,0.122,0.000,0.122,1,1,10,11,-999,-999,10,11,F,3,1,56,-999,56,-999,60,60,4
S136,3,1,1,63,43,18,2,0.00000036169,0.896,0.104,0.000,0.104,2,1,-999,-999,11,13,11,13,F,7,2,-999,60,60,64,-999,64,4
S140,1,2,2,63,15,17,31,0.00000036169,0.009,0.544,0.447,1.438,1,1,4,8,-999,-999,4,8,F,6,4,39,-999,39,-999,48,48,9
